currentPoints,avatar_id,user_id
1836,62,25867
3761,77,25868
4638,82,25869
2544,77,25870
1105,67,25871
540,77,25872
1688,62,25873
803,67,25874
2767,82,25875
4946,67,25876
3913,82,25877
4215,82,25878
4518,72,25879
4191,72,25880
5381,82,25881
4171,67,25882
7378,82,25883
24612,74,25884
5572,57,25885
3757,72,25886
4479,57,25887
4260,62,25888
4933,72,25889
4955,72,25890
5485,82,25891
4786,62,25892
3788,77,25893
4660,82,25894
4596,72,25895
4531,72,25896
4238,72,25897
4312,72,25898
765,72,25914
315,82,25915
10,77,25916
555,57,25917
405,72,25918
360,67,25919
55,62,25920
720,57,25921
1060,82,25922
450,72,25923
765,57,25924
0,NULL,25925
0,NULL,25926
135,57,25927
0,NULL,25928
865,67,25929
1003,77,25930
0,NULL,25931
0,77,25932
135,77,25933
985,82,25934
1562,77,25935
315,77,25936
630,57,25937
0,72,25938
0,57,25939
1553,62,25940
0,NULL,25941
2041,62,25942
0,NULL,25943
2930,57,25944
0,NULL,25945
460,57,25946
745,82,25947
495,77,25948
2009,57,25949
135,62,25950
675,57,25951
360,77,25952
0,NULL,25953
725,77,25954
60,62,25955
825,82,25956
320,72,25957
952,62,25958
3868,82,25959
12572,63,25960
855,82,25961
0,NULL,25962
0,72,25963
1955,72,25964
675,82,25965
675,57,25966
0,NULL,25967
580,72,25968
835,57,25969
0,77,25970
600,72,25971
0,67,25972
30,77,25973
600,67,25974
3725,82,25975
780,57,25976
610,77,25977
2400,62,25978
710,77,25979
1637,82,25980
932,62,25981
1585,82,25982
1845,62,25983
730,67,25984
5026,62,25985
950,72,25986
1140,62,25987
30,67,25988
320,67,25989
450,57,25990
600,77,25991
0,82,25992
450,72,25993
960,67,25994
480,77,25995
470,82,25996
300,77,27648
0,NULL,27649
0,77,27650
1030,82,27651
175,77,27652
0,NULL,27653
0,57,27654
20,77,27655
1325,57,27656
0,NULL,27657
492,82,27658
0,NULL,27659
1320,82,27660
0,NULL,27661
0,77,27662
930,77,27663
900,62,27664
0,NULL,27665
0,77,27666
2732,82,27667
0,NULL,27668
0,NULL,27669
10,57,27670
420,77,27671
1380,72,27672
300,82,27673
0,57,27674
0,NULL,27675
4172,57,27676
1710,82,27677
0,NULL,27678
10002,63,27679
20,72,27680
10,77,27681
30,82,27682
10,57,27683
50,77,27684
50,67,27685
0,77,27686
0,77,27687
160,77,27688
2701,57,27689
595,77,27690
0,NULL,27691
945,62,27692
0,NULL,27693
0,72,27694
0,57,27695
1373,57,27696
40,67,27697
0,NULL,27698
0,NULL,27699
0,72,27700
0,77,27701
0,77,27702
1230,77,27703
1160,57,27704
0,77,27705
0,77,27706
0,NULL,27707
0,NULL,27708
0,72,27709
0,NULL,27710
0,NULL,27711
0,NULL,27712
0,67,27713
8027,83,27714
0,NULL,27715
0,NULL,27716
2048,62,27717
590,82,27718
535,72,27719
0,82,27720
0,NULL,27721
0,NULL,27722
260,77,27723
150,77,27724
0,NULL,27725
0,57,27726
0,82,27727
0,NULL,27728
0,57,27729
180,82,27730
0,57,27731
0,57,27732
0,57,27733
0,82,27734
0,72,27735
0,72,27736
0,NULL,27737
300,77,27738
0,72,27739
270,57,27740
0,NULL,27741
0,NULL,27742
560,82,27743
0,NULL,27744
0,57,27745
0,82,27746
0,77,27747
0,72,27748
1280,77,27749
0,NULL,27750
590,77,27751
0,77,27752
10,77,27753
0,72,27754
0,NULL,27755
3201,77,27756
0,57,27757
0,NULL,27758
0,72,27759
20,62,27760
0,NULL,27761
0,NULL,27762
0,NULL,27763
210,67,27764
1485,62,27765
0,NULL,27766
0,57,27767
0,77,27768
30,72,27769
0,NULL,27770
0,77,27771
0,57,27772
0,NULL,27773
0,72,27774
10,77,27775
20,72,27776
160,57,27777
0,NULL,27778
0,NULL,27779
0,NULL,27780
0,NULL,27781
300,82,27782
0,NULL,27783
0,NULL,27784
0,77,27785
0,NULL,27786
110,77,27787
0,NULL,27788
0,NULL,27789
0,NULL,27790
0,NULL,27791
0,NULL,27792
0,67,27793
40,62,27794
0,67,27795
0,NULL,27796
0,NULL,27797
