user_id,activityLoop_id,interactionTime
28329,4,"2017-08-22 11:43:55"
28340,4,"2017-08-22 11:45:30"
25920,16,"2017-08-22 11:56:37"
28554,4,"2017-08-22 11:56:56"
28663,4,"2017-08-22 11:58:08"
28654,4,"2017-08-22 11:59:04"
28663,4,"2017-08-22 12:00:25"
28654,9,"2017-08-22 12:01:50"
28654,4,"2017-08-22 12:01:50"
28663,4,"2017-08-22 12:02:00"
25940,4,"2017-08-22 12:02:16"
28554,5,"2017-08-22 12:02:58"
25940,4,"2017-08-22 12:03:14"
25929,4,"2017-08-22 12:03:41"
28554,4,"2017-08-22 12:03:44"
25947,4,"2017-08-22 12:03:59"
25929,4,"2017-08-22 12:04:00"
28663,4,"2017-08-22 12:04:32"
28646,4,"2017-08-22 12:05:29"
28663,9,"2017-08-22 12:05:30"
28663,4,"2017-08-22 12:05:31"
28554,4,"2017-08-22 12:06:02"
28646,4,"2017-08-22 12:06:51"
28654,4,"2017-08-22 12:06:54"
28554,9,"2017-08-22 12:07:00"
28554,4,"2017-08-22 12:07:00"
28646,4,"2017-08-22 12:07:04"
28646,9,"2017-08-22 12:07:16"
28646,4,"2017-08-22 12:07:17"
28646,4,"2017-08-22 12:07:58"
28581,16,"2017-08-22 12:08:08"
28646,4,"2017-08-22 12:08:37"
28646,4,"2017-08-22 12:09:41"
28505,4,"2017-08-22 12:09:49"
28646,1,"2017-08-22 12:09:57"
28646,4,"2017-08-22 12:09:57"
28654,4,"2017-08-22 12:10:05"
28505,4,"2017-08-22 12:10:30"
28654,4,"2017-08-22 12:12:53"
28505,4,"2017-08-22 12:13:47"
28492,4,"2017-08-22 12:15:09"
28492,5,"2017-08-22 12:16:02"
28562,4,"2017-08-22 12:20:40"
28562,4,"2017-08-22 12:21:19"
28458,4,"2017-08-22 12:22:22"
28521,4,"2017-08-22 12:27:35"
28521,9,"2017-08-22 12:27:52"
28654,9,"2017-08-22 12:29:31"
28654,4,"2017-08-22 12:29:31"
28554,4,"2017-08-22 12:42:34"
28554,4,"2017-08-22 12:49:55"
28554,4,"2017-08-22 12:56:17"
28554,9,"2017-08-22 12:56:47"
28554,4,"2017-08-22 12:56:48"
28554,4,"2017-08-22 12:57:09"
28554,4,"2017-08-22 12:57:38"
28554,4,"2017-08-22 12:58:49"
28554,1,"2017-08-22 13:01:14"
28554,4,"2017-08-22 13:01:14"
28554,4,"2017-08-22 13:05:10"
28554,4,"2017-08-22 13:06:05"
28554,4,"2017-08-22 13:06:29"
28554,2,"2017-08-22 13:06:29"
28554,20,"2017-08-22 13:06:29"
25940,4,"2017-08-22 13:10:20"
25929,4,"2017-08-22 13:15:08"
25929,4,"2017-08-22 13:18:47"
25940,4,"2017-08-22 13:19:31"
25940,4,"2017-08-22 13:22:49"
25940,4,"2017-08-22 13:23:22"
25940,4,"2017-08-22 13:25:09"
25940,9,"2017-08-22 13:26:09"
28521,4,"2017-08-22 13:35:00"
28521,4,"2017-08-22 13:36:27"
28589,4,"2017-08-22 13:36:38"
28604,4,"2017-08-22 13:36:53"
28604,4,"2017-08-22 13:37:18"
28604,3,"2017-08-22 13:37:18"
28604,21,"2017-08-22 13:37:18"
28589,4,"2017-08-22 13:39:11"
28521,9,"2017-08-22 13:40:12"
28521,1,"2017-08-22 13:40:13"
28521,4,"2017-08-22 13:40:13"
28521,4,"2017-08-22 13:42:34"
28521,4,"2017-08-22 13:47:38"
28604,4,"2017-08-22 13:49:53"
28604,4,"2017-08-22 13:56:34"
25940,4,"2017-08-22 14:24:02"
25940,4,"2017-08-22 14:25:51"
25940,5,"2017-08-22 14:27:54"
25940,4,"2017-08-22 14:32:59"
25940,4,"2017-08-22 14:35:47"
25940,9,"2017-08-22 14:36:11"
25940,4,"2017-08-22 14:36:12"
25940,4,"2017-08-22 14:40:04"
25940,4,"2017-08-22 14:50:58"
25940,4,"2017-08-22 14:56:01"
25940,4,"2017-08-22 15:00:36"
25940,5,"2017-08-22 15:00:45"
25940,9,"2017-08-22 15:02:09"
25940,1,"2017-08-22 15:02:09"
25940,4,"2017-08-22 15:02:09"
25940,4,"2017-08-22 15:10:19"
25940,4,"2017-08-22 15:27:21"
25940,4,"2017-08-22 15:33:38"
25983,4,"2017-08-22 16:23:15"
28554,4,"2017-08-22 16:42:14"
28554,4,"2017-08-22 16:44:31"
28554,4,"2017-08-22 16:46:52"
28554,4,"2017-08-22 16:54:02"
28554,4,"2017-08-22 16:58:47"
28554,9,"2017-08-22 17:00:16"
28554,4,"2017-08-22 17:16:12"
25930,4,"2017-08-22 17:25:41"
29177,4,"2017-08-22 17:42:08"
28578,4,"2017-08-22 18:16:35"
28521,4,"2017-08-22 18:17:41"
28578,4,"2017-08-22 18:18:53"
28521,4,"2017-08-22 18:19:30"
28578,9,"2017-08-22 18:21:33"
28578,4,"2017-08-22 18:21:34"
28601,4,"2017-08-22 18:22:39"
28521,4,"2017-08-22 18:23:11"
28521,2,"2017-08-22 18:23:11"
28521,20,"2017-08-22 18:23:11"
28578,4,"2017-08-22 18:23:21"
28521,4,"2017-08-22 18:23:32"
28521,4,"2017-08-22 18:23:57"
28521,3,"2017-08-22 18:23:57"
28521,21,"2017-08-22 18:23:57"
28578,4,"2017-08-22 18:25:20"
28601,4,"2017-08-22 18:26:48"
28311,4,"2017-08-22 18:32:34"
28601,4,"2017-08-22 18:32:36"
28311,4,"2017-08-22 18:33:35"
28311,9,"2017-08-22 18:34:10"
28601,9,"2017-08-22 18:37:47"
28601,4,"2017-08-22 18:37:47"
28311,4,"2017-08-22 18:38:11"
28311,4,"2017-08-22 18:39:25"
28601,4,"2017-08-22 18:42:16"
28311,9,"2017-08-22 18:42:28"
28311,4,"2017-08-22 18:42:29"
28311,4,"2017-08-22 18:44:07"
28311,1,"2017-08-22 18:47:00"
28311,4,"2017-08-22 18:47:00"
28521,4,"2017-08-22 18:51:31"
28601,4,"2017-08-22 18:53:34"
28601,4,"2017-08-22 18:55:15"
